subject,target_distance,condition,perc_dist,sd_perc_dist,sem_perc_dist,logperc_dist,logperc_dist_sem
S001,1,Incongruous room,1.75,0.28867513459481287,0.14433756729740643,0.24303804868629444,-0.8406206186877936
S001,1,Closed headphones,1.625,0.47871355387816905,0.23935677693908453,0.21085336531489318,-0.6209542717726623
S001,1,Individualized HRTF,2,0,0,0.3010299956639812,-Inf
S001,1,Real speakers,2.125,0.6291528696058958,0.3145764348029479,0.32735893438633035,-0.5022738138753603
S001,1,Non-individualized HRTF,3.25,0.5,0.25,0.5118833609788743,-0.6020599913279624
S001,2,Incongruous room,4,0.816496580927726,0.408248290463863,0.6020599913279624,-0.3890756251918218
S001,2,Closed headphones,2.5,0.7071067811865476,0.3535533905932738,0.3979400086720376,-0.45154499349597177
S001,2,Individualized HRTF,4.5,0.5773502691896257,0.28867513459481287,0.6532125137753437,-0.5395906230238124
S001,2,Real speakers,5,0,0,0.6989700043360189,-Inf
S001,2,Non-individualized HRTF,5.5,0.5773502691896257,0.28867513459481287,0.7403626894942439,-0.5395906230238124
S001,3,Incongruous room,5.25,1.2583057392117916,0.6291528696058958,0.7201593034059569,-0.20124381821137916
S001,3,Closed headphones,3.5,0.5773502691896257,0.28867513459481287,0.5440680443502757,-0.5395906230238124
S001,3,Individualized HRTF,5,0,0,0.6989700043360189,-Inf
S001,3,Real speakers,7.5,1.7320508075688772,0.8660254037844386,0.8750612633917001,-0.06246936830415
S001,3,Non-individualized HRTF,8.5,1,0.5,0.9294189257142927,-0.3010299956639812
S001,4,Incongruous room,5.25,0.5,0.25,0.7201593034059569,-0.6020599913279624
S001,4,Closed headphones,4.25,0.9574271077563381,0.47871355387816905,0.6283889300503115,-0.31992427610868107
S001,4,Individualized HRTF,6.75,0.5,0.25,0.829303772831025,-0.6020599913279624
S001,4,Real speakers,7.25,1.2583057392117916,0.6291528696058958,0.8603380065709937,-0.20124381821137916
S001,4,Non-individualized HRTF,9.5,2.516611478423583,1.2583057392117916,0.9777236052888477,0.09978617745260204
S001,5,Incongruous room,6.25,0.5,0.25,0.7958800173440752,-0.6020599913279624
S001,5,Closed headphones,4,0.816496580927726,0.408248290463863,0.6020599913279624,-0.3890756251918218
S001,5,Individualized HRTF,6.5,0.5773502691896257,0.28867513459481287,0.8129133566428556,-0.5395906230238124
S001,5,Real speakers,7.25,1.2583057392117916,0.6291528696058958,0.8603380065709937,-0.20124381821137916
S001,5,Non-individualized HRTF,10.25,1.8929694486000912,0.9464847243000456,1.0107238653917732,-0.023886390898000348
S001,6,Incongruous room,6.125,1.0307764064044151,0.5153882032022076,0.7871060930365701,-0.2878655263028066
S001,6,Closed headphones,5,0.816496580927726,0.408248290463863,0.6989700043360189,-0.3890756251918218
S001,6,Individualized HRTF,7,0.816496580927726,0.408248290463863,0.8450980400142568,-0.3890756251918218
S001,6,Real speakers,8,1.632993161855452,0.816496580927726,0.9030899869919435,-0.08804562952784062
S001,6,Non-individualized HRTF,10.5,1,0.5,1.021189299069938,-0.3010299956639812
S002,1,Incongruous room,0.625,0.25,0.125,-0.2041199826559248,-0.9030899869919435
S002,1,Closed headphones,0.2,0,0,-0.6989700043360187,-Inf
S002,1,Individualized HRTF,0.9,0.11547005383792512,0.05773502691896256,-0.045757490560675115,-1.2385606273598313
